entity_id,name,sanction_program
7704,"KARADZIC, LUKA",BALKANS
7705,"KARADZIC, RADOVAN",BALKANS
7706,"KARADZIC-JOVICEVIC, SONJA",BALKANS
7707,"KNEZEVIC, DUSAN",BALKANS
7708,"KORDIC, DARIO",BALKANS
7709,"KOS, MILOJICA",BALKANS
7710,"KOVACEVIC, VLADIMIR",BALKANS
7712,"KRNOJELAC, MILORAD",BALKANS
7713,"KRSTIC, RADISLAV",BALKANS
7714,"KRYEZIU, IZMET",BALKANS
7715,"KUBURA, AMIR",BALKANS
7716,"KUNARAC, DRAGOLJUB",BALKANS
7717,"KVOCKA, MIROSLAV",BALKANS
7718,"LALOVIC, DRAGAN",BALKANS
7721,"LIMAJ, FATMIR",BALKANS
7723,"LLADROVICI, RAMIZ",BALKANS
7724,"LUKIC, MILAN",BALKANS
7725,"LUKIC, SREDOJE",BALKANS
7726,"LUKOVIC, MILORAD ULEMEK",BALKANS
7727,"LUSHTAKU, SAMI",BALKANS
7729,"MANDIC, MOMCILO",BALKANS
7731,"MARKOVIC, MIRJANA",BALKANS
7732,"MARKOVIC, RADOVAC",BALKANS
7733,"MARKU, TON",BALKANS
7734,"MARTIC, MILAN",BALKANS
7735,"MARTINOVIC, VINKO",BALKANS
7736,"MEJAKIC, ZELJKO",BALKANS
7737,"MILOSEVIC, BORISLAV",BALKANS
7738,"MILOSEVIC, DRAGOMIR",BALKANS
7739,"MILOSEVIC, MARIJA",BALKANS
7740,"MILOSEVIC, MARKO",BALKANS
7741,"MILOSEVIC, MILANKA",BALKANS
7742,"MILOSEVIC, SLOBODAN",BALKANS
7744,"MLADIC, RATKO",BALKANS
7745,"MORINA, XHAVIT",BALKANS
7746,"MRDJA, DARKO",BALKANS
7749,"MUSLIU, ISAK",BALKANS
7751,"MUSLIU, SHEFQET",BALKANS
7752,"MUSTAFA, RRUSTEM",BALKANS
7753,"NALETILIC, MLADEN",BALKANS
7757,"NDRECAJ, MALIQ",BALKANS
7760,"NIKOLIC, MOMIR",BALKANS
7761,"NIKOLIC, ZARKO",BALKANS
7762,"OBRENOVIC, DRAGAN",BALKANS
7765,"PANDUREVIC, VINKO",BALKANS
7766,"PAVKOVIC, NEBOJSA",BALKANS
7767,"PERIC, JOZO",BALKANS
7768,"PLAVSIC, BILJANA",BALKANS
7770,"POPOVIC, VUJADIN",BALKANS
7772,"PRCAC, DRAGOLJUB",BALKANS
7775,"RADIC, MIROSLAV",BALKANS
7776,"RADIC, MLADO",BALKANS
7777,"RAJIC, IVICA",BALKANS
7778,"RASEVIC, MITAR",BALKANS
7779,"REXHEPI, DAUT",BALKANS
7780,"ROGULJIC, SLAVKO",BALKANS
7782,"SAHINPASIC, SENAD",BALKANS
7783,"SAINOVIC, NIKOLA",BALKANS
7784,"SAMIU, IZAIR",BALKANS
7786,"SELIMI, REXHEP",BALKANS
7787,"SESELJ, VOJISLAV",BALKANS
7788,"SHAQIRI, SHAQIR",BALKANS
7789,"SIKIRICA, DUSKO",BALKANS
7790,"SIMATOVIC, FRANKO",BALKANS
7791,"SIMIC, BLAGOJE",BALKANS
7792,"SIMIC, MILAN",BALKANS
7793,"SLJIVANCANIN, VESELIN",BALKANS
7794,"SOPTA, STANKO",BALKANS
7795,"STAKIC, MILOMIR",BALKANS
7796,"STANISIC, JOVICA",BALKANS
7797,"STANKOVIC, RADOVAN",BALKANS
7798,"STEPANOVIC, NOVAK",BALKANS
7801,"SUMA, EMRUSH",BALKANS
7802,"SYLA, AZEM",BALKANS
7803,"TADIC, DUSAN",BALKANS
7804,"TADIC, MIROSLAV",BALKANS
7807,"TODOVIC, SAVO",BALKANS
7808,"UKSINI, SAMI",BALKANS
7809,"VASILJEVIC, MITAR",BALKANS
7810,"VUKOVIC, ZORAN",BALKANS
7811,"XHAFERI, SHEFIT",BALKANS
7812,"XHEMAJLI, EMRUSH",BALKANS
7813,"XHEMAJLI, MUHAMET",BALKANS
7814,"ZARIC, SIMO",BALKANS
7815,"ZELEN-KARADZIC, LJILJANA",BALKANS
7817,"ZIGIC, ZORAN",BALKANS
7818,"ZUPLJANIN, STOJAN",BALKANS
7819,"DIAS DE MENDONCA, LEONARDO",SDNTK
7820,"ESPARRAGOZA MORENO, JUAN JOSE",SDNTK
7821,"PALMA SALAZAR, HECTOR LUIS",SDNTK
7822,"QUINTERO MERAZ, JOSE ALBINO",SDNTK
7826,"ABDAOUI, YOUSSEF",SDGT
7827,"AKLI, MOHAMED AMINE",SDGT
7828,"AMDOUNI, MEHREZ",SDGT
7829,"AYARI, CHIHEB BEN MOHAMED",SDGT
7830,"BAAZAOUI, MONDHER",SDGT
7831,"DUMONT, LIONEL",SDGT
7832,"ESSAADI, MOUSSA BEN AMOR BEN ALI",SDGT
7833,"FETTAR, RACHID",SDGT
7834,"HAMAMI, BRAHIM BEN HEDILI BEN MOHAMED",SDGT
7835,"JARRAYA, KHALIL",SDGT
7837,"JENDOUBI, FAOUZI BEN MOHAMED BEN AHMED",SDGT
7838,"MNASRI, FETHI BEN REBAI BEN ABSHA",SDGT
7839,"OUAZ, NAJIB",SDGT
7840,"RARRBO, AHMED HOSNI",SDGT
7841,"SALEH, NEDAL",SDGT
7842,"MZOUDI, ABDELGHANI",SDGT
7843,"AL-TIKRITI, SADDAM HUSSEIN",IRAQ2
7844,"AL-TIKRITI, QUSAY SADDAM HUSSEIN",IRAQ2
7845,"AL-TIKRITI, UDAY SADDAM HUSSEIN",IRAQ2
7846,"AL-TIKRITI, ABID HAMID MAHMUD",IRAQ2
7847,"AL-TIKRITI, ALI HASSAN AL-MAJID",IRAQ2
7848,"AL-DURI, IZZAT IBRAHIM",IRAQ2
7849,"AL-TIKRITI, HANI ABD-AL-LATIF TILFAH",IRAQ2
7850,"AL-NUMAN, AZIZ SALIH",IRAQ2
7851,"ZUBAIDI, MUHAMMAD HAMZA",IRAQ2
7852,"AL-TIKRITI, KAMAL MUSTAFA SULTAN ABDALLAH",IRAQ2
7853,"AL-TIKRITI, BARZAN ABD AL-GHAFUR SULAIMAN MAJID",IRAQ2
7854,"AL-TIKRITI, MUZAHIM SA'B HASSAN",IRAQ2
7855,"AL-TIKRITI, IBRAHIM AHMAD ABD AL-SATTAR MUHAMMED",IRAQ2
7856,"AL-RAWI, SAIF-AL-DIN FULAYYIH HASSAN TAHA",IRAQ2
7857,"AL-TIKRITI, RAFI ABD-AL-LATIF TILFAH",IRAQ2
7858,"AL-TIKRITI, TAHIR JALIL HABBUSH",IRAQ2
7859,"AL-TIKRITI, HAMID RAJA SHALAH",IRAQ2
7860,"AL-DULAYMI, LATIF NUSAYYIF JASIM",IRAQ2
7861,"HUWAYSH, ABD-AL-TAWAB MULLAH",IRAQ2
7862,"AL-JIZRAWI, TAHA YASSIN RAMADAN",IRAQ2
7863,"AL-TIKRITI, RUKAN RAZUKI ABD-AL-GHAFUR SULAIMAN",IRAQ2
7864,"AL-TIKRITI, JAMAL MUSTAFA ABDALLAH SULTAN",IRAQ2
7865,"HADI, MIZBAN KHADR",IRAQ2
7866,"MA'RUF, TAHA MUHYI-AL-DIN",IRAQ2
